page,para_num,pdf_name,text
6,2,eu_2005,In FP6 (2003 - 2006) QIPC continues as a FET Proactive Initiative. There was one call for Integrated Projects (IP) with deadline 22 September 2004. There are three Integrated Projects which succeeded in the evaluations and negotiations are in progress. Projects are to start in September 2005 with a contract for four years. The total EU funding is 25 M€. These IPs are: • SCALA: Scalable Quantum Computing with Light and Atoms • QAP: Qubit Applications • EuroSQIP: European Superconducting Quantum Information Processor All projects deal with central topics of quantum computing and one of them (QAP) addresses in addition central topics of quantum communication and quantum information. All three consortia involve leading European scientists in their respective fields. In all projects the European dimension is a clear added value.
6,3,eu_2005,"In two of them (SCALA and QAP) the accent on integration across different disciplines and approaches is very strong and it is considered crucial for the further advancement of QIPC research in Europe. QIPC is also funded via the FET-Open continuous submission scheme, which supports long-term, risky and visionary research. In this case the research area is not specified in advance and QIPC projects are competing with all other areas sponsored by FET. In FP5 ten QIPC projects with total cost of 7 M€ and EU funding of 5.6 M€ were launched. "
6,4,eu_2005,"The QUIPROCONE Thematic Network successfully coordinated all QIPC projects in FP5, integrating the projects arising from the Open scheme with those supported through the proactive initiative. In FP6 four projects are already funded via FET Open and others are expected to follow. The role of FET Open is essential as it supports new topics that had not been addressed in the proactive initiative and prevents the time gaps that would otherwise occur by relying solely on dedicated QIPC calls. "
6,5,eu_2005,"In 2004 there was a call for proposals for coordinated actions related to structuring the ERA (European Research Area). The project “Structuring the ERA with quantum information science and technology” or ERA-Pilot QIST was successful and started work on February 1, 2005. It has many challenging objectives with the goal to promote QIPC research in Europe and to give recommendations to European and national authorities on policy, structuring, coordination and funding. The deliverables include: regular updates of the QIPC roadmap document; elaboration of a map of European research teams and expertise; information on national initiatives and programs; information on international initiatives and programs; proposal for coordination and synergies between national and EC initiatives; proposal for benchmarking; organisation of conferences, etc.   "
6,6,eu_2005,"Within QIPC – FET specific efforts were dedicated to quantum cryptography. In FP4 seed work was done by the EQCSPOT project. It led to a wider field of investigation in a number of projects of the QIPC Proactive Initiative in FP5, where they reached maturity. In FP6 this area of research was transferred to more applied parts of the IST programme. Quantum cryptography is now part of the strategic objective “Towards a global dependability and security framework”, where a large Integrated Project SECOQC is funded. The consortium consists of about 40 partners, including several large companies. The EC funding is of 11.35 M€. The project includes all prominent groups in Europe active in this field. They were all initially funded through FET."
7,2,eu_2005,"Apart from the EU program, QIPC is also coordinated and funded on a national level. An extensive list of such initiatives is not available at the moment and it is one of the goals of the project ERA-Pilot QIST. Initiatives exist in the United Kingdom, Denmark, Sweden, Austria, France, Germany, Italy, Slovakia and Poland. Coordination between national and EC programs will have decisive influence on the progress of QIPC research in Europe. Strong and visionary leadership of high quality is also important. Only by stronger coordination between national efforts among each other and with the EC program, can the required critical mass in various sub-fields can be reached and maintained."
7,3,eu_2005,Experience and knowledge should be shared and neither efforts nor funding should be duplicated. Funding will ultimately have to concentrate mainly on centers of excellence specialized in a certain domain in order to achieve the highest possible impact.
7,4,eu_2005,"The field of QIPC has matured in the last ten years. There is critical mass in Europe in the main sub-fields. It is clear that QIPC research has gained an important European dimension which is crucial for its further development. It is, however, necessary to expand and strengthen activities at the European level. We are working towards common goals and a common European strategy. It is crucial to support and maintain research in the main areas of QIPC: quantum communication, computation and information theory."
7,5,eu_2005,"At this stage it is also important to keep a diversity of experimental realizations and approaches, and yet actively to look for synergies and integration between them in order to reach concrete objectives. Some areas of QIPC seem closer to achieving a number of landmark results and have the potential to make possible concrete applications within a medium-term future. We need to ensure timely and appropriate concentration of efforts and coordination of activities in these areas. Breakthroughs of the type needed to make QIPC a reality cannot be expected to follow a precise timetable."
13,3,eu_2_2005,"Quantum Information Processing and Communication (QIPC) is a vigorously active cross-disciplinary field drawing upon theoretical and experimental physics, computer science, engineering, mathematics, and material science. Its scope ranges from fundamental issues in quantum physics to prospective commercial exploitation by the computing and communications industries."
13,4,eu_2_2005,3. 1 QIPC RESEARCH IN EUROPE – EUROPEAN UNION LEVEL QIPC has a high-risk nature and long-term outlook with visions within the scope of information and communication technologies. The potential of QIPC was quickly recognized by FET – the Future and Emerging Technologies part of the Information Society Technologies priority of the Research Programme of the European Commission. The pathfinder role of FET played a crucial role for the development of QIPC in Europe. In the late 80’s and early 90’s quantum phenomena were studied by projects funded by the EC in the field of optoelectronics and electronics with the aim to overcome the limitations to the respective state-of-the-art devices.
13,5,eu_2_2005,"In the Fourth Framework Programme (FP4, 1995 – 1998) this research gradually evolved towards the objective of “quantum information processing”. The focus was on the demonstration of quantum effects with photons, which was technologically more mature. In the mid 90’s, important results were achieved by several groups in Europe and shortly after they became the driving force behind a number of FET projects. During 1998 the QCEPP working group (the so-called Pathfinder Project) laid the bases for the research field of Quantum Information Processing and Communications at European level and was the first endeavor explicitly addressing this area of research. This working group produced an extensive report with a roadmap, a map of European research teams with relevant competencies and set the research agenda for several years ahead. It played a crucial role by organizing the research community, by stimulating it to reach critical mass within a short time period and by building the support for the launch of QIPC as a Proactive Initiative."
13,6,eu_2_2005,"In FP5 (1999–2002) FET launched QIPC as a Proactive Initiative (PI). It was implemented via ‘calls for proposals’ directly targeted to QIPC and a certain amount of the FET budget was reserved in advance. There were two calls for proposals and 25 projects were launched with total cost of 41 M€ and EU funding of 31 M€. The contracts of the last group of FP5 projects finish at the end of 2005. Coordinating the work of these projects is a main priority of FET. Each year since the beginning of the proactive initiative two major events are organized. The first one is a ‘cluster review’ and conference. Its goals are to evaluate the work of each project and how its objectives fit within the cluster, to revise priorities if necessary and to evaluate the progress of the cluster as a whole. The second event is the annual European QIPC workshop where projects present their work. Both forums give the opportunity for interactions between the members of the projects and for cross-fertilization."
13,7,eu_2_2005,"In FP6 (2003–2006) QIPC continues as a FET PI. There was one call for Integrated Projects (IP) with deadline 22 September 2004. There are three Integrated Projects which succeeded in the evaluations and negotiations are in progress. If successful, the projects are to start in September 2005 with a contract for four years. The total EU funding is  25 M€. These IPs are:  SCALA: Scalable Quantum Computing with Light and Atoms;  QAP: Qubit Applications."
14,2,eu_2_2005,"June 2005       14            Version 1.1  EuroSQIP: European Superconducting Quantum Information Processor. The proposed research goes clearly beyond the state-of-the-art, which confirms the strong European presence in QIPC and the progress made in the last years. All projects deal with central topics of quantum computing and one of them (QAP) addresses in addition central topics of quantum communication and quantum information. All three consortia involve leading European scientists in their respective fields. In all projects the European dimension is a clear added value. In two of them (SCALA and QAP) the accent on integration across different disciplines and approaches is very strong and it is considered crucial for the further advancement of QIPC in Europe."
14,3,eu_2_2005,"QIPC is also funded via the FET-Open continuous submission scheme, which supports long-term, risky and visionary research. In this case the research area is not specified in advance and QIPC projects are competing with all other areas sponsored by FET. In FP5 ten QIPC projects with total cost of 7 M€ and EU funding of 5.6 M€ were launched. The QUIPROCONE Thematic Network successfully coordinated all QIPC projects in FP5, integrating the projects arising from the Open scheme with those supported through the proactive initiative. In FP6 four projects are already funded via FET Open and others are expected to follow. The role of FET Open is essential as it supports new topics that had not been addressed in the proactive initiative or allows filling the time gap between dedicated QIPC calls."
14,4,eu_2_2005,"In 2004 there was a call for proposals for coordinated actions related to structuring the ERA (European Research Area). The project “Structuring the ERA with quantum information science and technology” or ERA-Pilot QIST was successful and started work on February 1, 2005. It has many challenging objectives with the goal to promote QIPC research in Europe and to give recommendations to European and national authorities on policy, structuring, coordination and funding. The deliverables include: complete and regularly update the QIPC roadmap document; elaborate a map of European research teams and expertise; collect information on national initiatives and programs; collect information on international initiatives and programs; propose coordination and synergies between national and EC initiatives; propose benchmarking; organize conferences, etc."
14,5,eu_2_2005,"Within QIPC–FET specific efforts were dedicated to quantum cryptography. In FP4 seed work was done by the EQCSPOT project. It led to a wider field of investigation in a number of projects of the QIPC Proactive Initiative in FP5, where they reached maturity. In FP6 this area of research was transferred to more applied parts of the IST programme. Quantum cryptography is now part of the strategic objective “Towards a global dependability and security framework”, where a large Integrated Project SECOQC is funded The consortium consists of about 40 partners, including several large companies. The EC funding is of 11.35 M€. The project includes all prominent groups in Europe active in this field. They were all initially funded through FET."
14,6,eu_2_2005,"2 QIPC RESEARCH IN EUROPE – NATIONAL LEVEL Apart from the EU program, QIPC is also coordinated and funded on national level. An extensive list of such initiatives is not available at the moment and it is one of the goals of the project ERA-Pilot QIST. So far we know that national initiatives of a certain size are the following:  Austria: QIST, consisting of University of Innsbruck, University of Vienna, Austrian Academy of Science, ARC Seibersdorf research as well as the industrial partner Siemens Austria (within the proposed ERA-Pilot represented by Academy of Science and ARC Seibersdorf research)  Belgium: PHOTON – Interuniversity Attraction Pole (IUAP), funded by the federal government, coordinates research in quantum information; additional FP6 QIPC Integrated Projects."
15,2,eu_2_2005,"June 2005       15            Version 1.1 funding of quantum information research  by the Fonds National de la Recherche Scientifique (FNRS)  Denmark: QUANTOP – Danish National Research Foundation Center for Quantum Optics, Universities of Aarhus and Copenhagen  Denmark/Sweden: Øresund-region, consisting of the universities of Lund, Copenhagen, Aarhus and the Technical Universities in Lyngby and Göteborg.  France: “National Initiative on Quantum Information”, part of the “French National Program in Nanoscience”.  Germany: “DFG-Schwerpunkt: Quanteninformationsverarbeitung” (end 2005) and several programs by individual states.  Italy: The National Research Center NEST (National Enterprise for nanoscience and nanotechnology) has been established that contains Quantum Information as well.  Poland: The network of the Laboratory of Physical Foundations of Information Processing, which is coordinated by the Center for Theoretical Physics of the  Polish Academy of Sciences  Slovakia: Quantum information program by the Slovakian Academy of Science (Bratislava).  Sweden: SSF QIP consortium, Chalmers Göteborg, and KTH, Stockholm  United Kingdom: QIP IRC (Quantum Information Processing Interdisciplinary Research Collaboration), consisting of the universities of Bristol, Cambridge, Hertfordshire, Leeds, Oxford (within the QIST-consortium), Sheffield, and York, Imperial College and University College in London as well as the industrial partners Hewlett Packard, Hitachi, National Physics Laboratories, Qinetiq, and Toshiba."
15,3,eu_2_2005,"Coordination between national and EC programs will have decisive influence on the progress of QIPC research in Europe. Strong and visionary leadership of high quality is also important. Only by stronger coordination between national efforts among each other and with the EC program, we can keep or reach critical mass in various sub-fields.  Experience and knowledge should be shared and neither efforts nor funding should be duplicated. Funding will ultimately have to concentrate efforts in sub-fields to certain geographical regions (centers of excellence) in order to achieve the highest possible impact. This need will have to be balanced with the need to keep a European dimension of research while building on already existing centers of excellence in certain areas across Europe."
15,4,eu_2_2005,"3.3 QIPC RESEARCH IN THE INTERNATIONAL CONTEXT  Quantum information processing has become a scientific discipline with its own identity during the last ten years. The advent of quantum cryptography in the 80s and then the recognition of quantum computing in the 90s, for example using Shor’s algorithm, provided the motivation and have been the starting point of serious experimental and theoretical efforts to realize QIPC at large."
15,5,eu_2_2005,"Through the activities of the 2000-2004 EC FP5 FET-PI QIPC programme, Europe has, in the main, been at the leading edge of QIS worldwide. The early spearheading of this high-risk R&D effort by the EC has aided in the creation of a number of national investments in QIS with the research area now reaching a more mature stage of medium/high risk. Until now, European publication output and quality has been on a par with the US (Fig. 1), while other nations have begun systematic ramp-up in QIS."
16,1,eu_2_2005,"QIPC STRATEGIC REPORT June 2005 16 Version 1.1 investments. To retain our leading position in research and to capitalize on the Commission’s already significant investments in QIS (€35M in FP5), it is vital to ensure that the EC investment in QIS remains competitive with the US and other national/continental QIS investors. Our current intelligence indicates (see Table 1), that a Commission investment of €7M/yr. will compete very poorly with the US, who now federally invests ~$100MUSD/yr."
16,2,eu_2_2005,"Indeed, Australia, with a population of 20 million (EU population is ~450 million), will be federally investing, $8MAUS/yr. (€5M/yr.), in a coherent QIS effort through its National Centers of Excellence. Among the strongest threats to Europe’s lead role in Q/NIST/IS is the US FoQuS programme. The FoQuS programme (by the US Defense Advanced Research and Projects Agency), was initially tabled in early 2004 with a specific targeting of quantum computer QIS in a single project funded to ~$90MUSD over four years, with worldwide researcher participation."
16,3,eu_2_2005,This programme has not yet been fully launched but remains under consideration by the US for 2005. With the very significant international targeting of QIS ramping up around the world it is imperative that Europe remains competitive. QIS R&D support on the scale of ~€8M/year puts Europe at the lower end of worldwide QIS funding support.
16,4,eu_2_2005,"With such a potential decrease in international competitiveness, there is considerable risk that European research in QIS and the resulting technology developments (commercial and defense), will not be sustainable, leaving Europe reliant on importing such developed QIS technology from abroad."
2,1,eu_2006,"Quantum Computing: The long-term goal is to develop a general-purpose quantum processor. A medium-term goal is a few-qubit processor including error correction, as a model system to demonstrate quantum algorithms and various quantum computing architectures, and with emphasis on potential scalability. It is essential to pursue this goal on a broad basis of competing physical systems and approaches, allowing hybridization and cross-fertilization between different implementations. A crucial issue is to overcome decoherence, both via technological advances and via novel theoretical approaches. In parallel, special purpose quantum computers should be developed to act as programmable quantum simulators, whose dynamics can be engineered to reproduce other many body quantum systems."
2,2,eu_2006,"Quantum Communication: The goal is to transfer quantum states from one place to another using entanglement and other non-local characteristics of quantum physics. A major objective is to develop long distance quantum communication both in optical fiber and in free space increasing significantly the distance and the qubit transfer rate. This entails a number of serious scientific challenges like developing quantum repeaters, quantum memories and quantum interfaces (faithful transfer of quantum states between light and matter). In parallel, building quantum networks and quantum processor interconnects is a major priority and has to complement the development of computer architectures in order to build entire working quantum systems. This could mean on a small scale, to transport information within different quantum computer architecture components; and over larger distances, to interconnect several quantum processors in networks."
2,3,eu_2006,"Quantum Information Science: One hand it must continue to play a leading role in guiding and supporting experimental developments. On the other hand, a major goal is its comprehensive formulation as a quantum counterpart to the classical theory of information, computation and communication. This implies the search for new quantum algorithms, new computational models and architectures, as well as for new quantum communication and entanglement manipulation protocols. A key element is a deeper understanding of entanglement and decoherence, which is necessary for elaborating quantum error correction and purification schemes."
2,4,eu_2006,"These three sub-domains are closely interrelated and strongly influence each other. Integration between them, as well as between different experimental approaches is needed for building complete integrated quantum systems. This is a key issue for developing QIPC as the basis of a future technology."
2,5,eu_2006,"The FET QIPC Proactive Initiative - Projects: European scientists have been at the forefront of QIPC research since the beginning. FET has been very successful in attracting to the IST Program the best research teams in Europe, which are also among the best ones in the world. During 1998 the QCEPP working group (the so-called Pathfinder project) laid the basis for the research field of QIPC at European level and was the first endeavor explicitly to address this area of research. In FP5 (1999 – 2002) FET launched QIPC as a proactive initiative. Two calls for proposals and 25 projects were launched with an EU funding of 31 M€. The contracts of the last group of FP5 projects finished at the end of 2005. QIPC is also funded via the FET-Open continuous submission scheme. In FP5 ten QIPC projects with total cost of 7 M€ and EU funding of 5.6 M€ were launched. Integrate the projects arising from the Open scheme with those supported through the proactive initiative and coordinate the work of all these projects is a main priority of the proactive initiative. The QUIPROCONE Thematic Network successfully supported FET in this endeavor."
3,1,eu_2006,"3 In FP6 (2003 – 2006) QIPC continued as a FET proactive initiative. There was one dedicated call for proposals in 2004. Three Integrated Projects started in November 2005 with a contract for four years and total EU funding of 25 M€:  SCALA - Scalable Quantum Computing with Light and Atoms (9.36 M€): The focus is on the realization of a scalable quantum computer, by using individually controlled atoms, ions and photons. This long-term goal is divided into two specific objectives, achievable during the project duration: A) Realization of interconnected quantum gates and quantum wiring elements. B) Realization of first approaches of ""operational"" quantum computing, which include (i) systems able to perform small-scale quantum algorithms, such as error correction (ii) special-purpose quantum processors, such as quantum simulators, and (iii) entanglement-assisted metrology."
3,2,eu_2006,"QAP - Qubit Applications (9.9 M€):  The focus is on qubit applications that are based on photonic, atomic and solid state systems. One of the project objectives is to design, build and operate quantum memories. It also aims to developing scalable quantum networks and operational prototypes of quantum repeaters that would allow to transmit quantum entanglement over large distances (both in fiber and free space). The ultimate goal is to design prototypes for satellite communications based on quantum entanglement.  The project also strives to developing operational demonstrations of efficient control of dynamics of few-qubit quantum systems that will be employed for performing quantum simulations."
3,3,eu_2006,EuroSQIP - European Superconducting Quantum Information Processor (6 M€):  The focus is to develop a 3-5-qubit quantum information processor capable to: - run elementary algorithms; - demonstrate quantum state control of a macroscopic multi-partite system - demonstrate entanglement and entanglement transfer - provide storage of quantum information - provide quantum communication interfaces - run simple quantum error correction schemes for suppression of decoherenece. This will be implemented on platforms based on Josephson junction technology for i) charge-phase and ii) flux qubits.
3,4,eu_2006,"Coverage: All three IPs deal with central topics of quantum computing, two of them (QAP and SCALA) address quantum information and one of them (QAP) covers also central topics of quantum communication. In SCALA and QAP the accent on integration across different disciplines and approaches is very strong and it is considered crucial for the further advancement of QIPC in Europe. All three consortia involve leading European scientists in their respective domains. In all projects the European dimension is a clear added value. The start of the three integrated projects marks a new more mature stage of development in European science."
3,5,eu_2006,"Eight smaller projects (STREPs) were contracted in FP6 via FET Open: COVAQIAL - Continuous Variable Quantum Information with Atoms and Light, QUELE - Quantum Computing with Trapped Electrons, RSFQUBIT - RSFQ Control of Josephson Junctions Qubits, OLAQUI - Optical lattices and quantum information, ACDET - Acoustoelectronic single photon detector, MICROTRAP - Development of pan-European micro-trap technology capability for trapped ion quantum information science, QICS - Foundational Structures of Quantum Information and Computation, EQUIND - Engineered Quantum Information in Nanostructured Diamond. The total European funding is of 13.582M€."
3,6,eu_2006,"At the end of 2006 there are two active Coordination Action Projects. These are not research projects, but rather their goal is to collaborate with the QIPC FET proactive initiative in developing a strategy and in carrying out common activities. ERA-Pilot QIST (850 K€) - Structuring the ERA with quantum information science and technology. Its goal is to promote QIPC research in Europe and to give recommendations to"
4,1,eu_2006,"European and national authorities on policy, structuring, coordination and funding. Its work includes: Contribute to the updates of the QIPC Roadmap, Develop a map of European QIPC centres of excellence, Develop a QIPC classification scheme according to the roadmap. The so-called QICS codes were accepted in the Fall of 2006 by Physical Review in the US to be included in the universal PACS classification codes for physics. Compile information about national QIPC programs. Compile information on international QIPC programmes. The Description of Work of the project went through a major update and restructuring in order to meet the fast changing needs of the field. The last two tasks above were substantially updated and expanded and new expertise was added to the consortium. The contract is extended till the end of 2007 and cooperation with the CA QUROPE is established."
4,2,eu_2006,"QUROPE (1 M€): It aims at structuring the European QIPC research community around the FET QIPC proactive initiative and covers a large spectrum of activities like: Develop a common European vision, strategy and goals for QIPC research by developing and updating the QIPC roadmap, Increase the public visibility and aim at broad dissemination activities, Develop and support an Electronic Information Infrastructure and Information Exchange (with a feedback channel), Organize scientific meetings, Create links with industry, Develop international collaboration outside of Europe. It is important to note that the consortium consists of 34 research groups, among the best from all over Europe. These play the role of regional focal points for other 43 research groups who are defined as affiliated members. In this way a considerable part of the scientific community can participate in the actions undertaken by the project. The decision making process is in the power of the Governing Board which consists of 19 well known scientists. Therefore the project is central to the entire QIPC scientific community and plays the role of its collective representative. It has reached a higher level of maturity and integration than all other similar actions in the past."
4,4,eu_2006,"In order to complete the picture of the projects in the area of QIPC funded by the European Commission research program in general, it is important to include the existing two Marie Curie research training networks funded by the Marie Curie program of DG RTD. They are CONQUEST: Controlled Quantum Coherence and Entanglement is Sets of Trapped Particles and ATOMCHIPS."
6,1,eu_2006,"• Maintain a global overview at European level  All these elements need to be in dynamic equilibrium between each other and it is very important to respond on time and proactively to:  • the changing needs of the community  • the fast research developments • changes at EU and Commission level • changes in the international scene  Keeping all these objectives in mind, it is very beneficial to maintain  continuity and to build on what has been already achieved. Part of it is to keep the traditions already established over the years. "
6,2,eu_2006,"There are two major annual events organized within the framework of the QIPC proactive initiative since 2000: The first one is a ‘cluster review’ with a conference. Its goals are to review and evaluate the work of each project and how its objectives fit within the common objectives of the initiative, to revise priorities if necessary and to evaluate the progress of the initiative as a whole. In 2005 and 2006, a detailed cluster review report was written after every review. "
6,3,eu_2006,"The second event is the annual European QIPC workshop where projects and individual research groups present their work. Both events are the focal point for the scientific community and serve as a platform for information exchange and an open forum for scientific discussions. Since 2004, at each of these events it was also organized a ‘special session’ to discuss the strategy and planning of the QIPC proactive initiative and to launch new actions. A list of all the events with some comments is available at the end of this article.     "
6,4,eu_2006,"Preparation for FP7 and a Common European strategy for research in QIPC: While the field has now reached a certain degree of maturity and there is critical mass in Europe in the main sub-domains, it is necessary to substantially expand and strengthen activities at European level. In view of the forthcoming FP7, FET and the European QIPC research community have been actively working during 2005 and 2006 towards the elaboration of a common European research strategy. "
6,5,eu_2006,"These efforts have culminated in the scientific and technological roadmap “Quantum Information Processing and Communication: Strategic report on current status, visions and goals for research in Europe”. This was really a community effort, as it can be seen from the substantial list of 40 contributors, who are among the most prominent scientists in Europe. The editing author is Prof. Peter Zoller from the University of Innsbruck. The document is an impressive joint effort of the European scientific community and a good example how European research can be adequately structured with the help from the respective EU program. After an initial consultation within the research community, in April 2005 the first version of the strategic report was published on the FET and on the ERA Pilot – QIST project web sites. The goal was to initiate a broader discussion and receive feedback in order to make appropriate corrections. "
6,6,eu_2006,"The report presents in a comprehensive way the state-of-the-art, the medium and long term goals, the visions and challenges in a general roadmap-type document. It includes a Foreword by Director Mr. Ulf Dahlsten, an executive summary, an overview of the general scientific and technological context of the field, an overview of the activities of the FET QIPC proactive initiative, a description of national research programs and the worldwide research position of Europe in QIPC. The main bulk of the document is devoted to a scientific assessment of current results and an outlook for future efforts. It covers the three main research sub-domains: quantum communication, quantum computation and quantum information science, as well as the interactions and interdependences between them. The document stipulates the need for further support in these three research directions, as well as to keep a diversity of experimental realizations and to look for synergies between them."
7,1,eu_2006,"Integration across different disciplines and between different experimental approaches is considered crucial for the further advancement of QIPC in Europe. Prospects for applications and commercial exploitation are equally discussed. The initial version of the roadmap was extensively discussed within the scientific community and subsequently at a series of special sessions organized by FET at the traditional events. One new version was published as an official publication of the European Communities in October 2005 and another one in The European Physical Journal D - Atomic, Molecular and Optical Physics. The roadmap is a living document, which is updated every six months. This is done in the context of the project ERA Pilot QIST by the team of WP1. After the end of the project this activity will be continued by the same team in the context of QUROPE WP2. Each update is subject to a wide consultation."
7,2,eu_2006,"The objective is that the QIPC roadmap serves as a guideline both to scientists and to decision makers in order to shape the future of QIPC in Europe. It will determine the strategic research agenda for the next decade. In the period January – March 2006 there was a general FP7 consultation process called BTH (Beyond-the-Horizon) in 7 FET domains. In parallel and independently of this action, the QIPC proactive initiative carried out a consultation forum on the web site of the project ERA Pilot QIST. The QIPC roadmap was subject to discussion and there were 84 comments submitted."
